function	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A2	A3	A4	A5	A6	A7	A8	A9
RXN-10819	40544.37	36773.33	36263.59	33603.11	44204.64	47017.64	40520.630000000005	40853.72	41419.67	42113.93	40576.77	46230.59	45151.06	49838.71000000001	45581.03	33164.92	34874.520000000004	38586.01
RXN-1082	8985.080000000002	10357.989999999998	11063.2	10973.34	12462.38	10515.46	11702.84	11839.92	11987.7	12617.47	13894.72	11571.8	12432.899999999998	8999.95	9684.43	10637.23	12325.580000000002	10490.94
RXN-10841	25.0	27.0	27.0	42.0	7.0	17.0	35.0	40.0	18.0	21.0	12.0	41.0	19.0	5.0	9.0	30.0	8.0	13.0
RXN-10842	25735.93	17563.92	16593.15	13836.06	19849.620000000003	24402.82	15061.42	17740.65	22370.31	18027.18	18785.1	30116.300000000003	30689.65	38066.08	28982.91	11652.5	10780.75	18465.76
RXN-10857	27500.67	27317.390000000003	29565.91	28552.72	31752.49	33521.91	31983.27	31644.08	32082.07	32001.730000000003	30377.36	32796.06	31094.54	31896.34	31463.37	28575.27	29402.87	28815.67
RXN-10870	123.0	80.0	64.5	100.0	95.5	54.0	184.0	86.0	71.0	82.5	165.0	157.5	95.0	43.0	51.0	102.5	109.0	97.0
RXN-10891	21312.06	20139.81	20045.01	18221.33	22548.13	24441.2	21226.78	22934.75	22976.22	21225.300000000003	19405.06	20844.49	21451.03	27566.47	23999.72	18286.04	17994.07	18757.99
RXN-10906	123.0	80.0	64.5	100.0	95.5	54.0	184.0	86.0	71.0	82.5	165.0	157.5	95.0	43.0	51.0	102.5	109.0	97.0
RXN-10907	15238.52	14459.63	16405.03	15237.17	19433.75	17822.37	17827.34	18992.57	18161.73	17359.07	21113.38	17460.36	18471.96	15496.510000000002	16893.6	15565.96	16578.65	15604.26
RXN-10908	15238.52	14459.63	16405.03	15237.17	19433.75	17822.37	17827.34	18992.57	18161.73	17359.07	21113.38	17460.36	18471.96	15496.510000000002	16893.6	15565.96	16578.65	15604.26
RXN-10909	123.0	80.0	64.5	100.0	95.5	54.0	184.0	86.0	71.0	82.5	165.0	157.5	95.0	43.0	51.0	102.5	109.0	97.0
RXN-10910	15238.52	14459.63	16405.03	15237.17	19433.75	17822.37	17827.34	18992.57	18161.73	17359.07	21113.38	17460.36	18471.96	15496.510000000002	16893.6	15565.96	16578.65	15604.26
RXN-10911	82619.86	78101.58	87732.04	82649.57999999999	95236.43	97996.17	91134.46	94796.9	97101.52	93181.13	92719.35	99193.14	97154.87	97821.32	93666.45	83694.07	85196.35	82181.92000000001
RXN-10912	86859.33	83812.22	90631.48	82120.61000000002	99181.6	101241.21	93046.6	98096.82	101796.1	95957.88	97346.93	107114.06	100861.27	109178.14	97188.67	81824.54999999999	87220.42	87755.66
RXN-10913	15238.52	14459.63	16405.03	15237.17	19433.75	17822.37	17827.34	18992.57	18161.73	17359.07	21113.38	17460.36	18471.96	15496.510000000002	16893.6	15565.96	16578.65	15604.26
RXN-10914	123.0	80.0	64.5	100.0	95.5	54.0	184.0	86.0	71.0	82.5	165.0	157.5	95.0	43.0	51.0	102.5	109.0	97.0
RXN-10915	82619.86	78101.58	87732.04	82649.57999999999	95236.43	97996.17	91134.46	94796.9	97101.52	93181.13	92719.35	99193.14	97154.87	97821.32	93666.45	83694.07	85196.35	82181.92000000001
RXN-10916	123.0	80.0	64.5	100.0	95.5	54.0	184.0	86.0	71.0	82.5	165.0	157.5	95.0	43.0	51.0	102.5	109.0	97.0
RXN-10917	86859.33	83812.22	90631.48	82120.61000000002	99181.6	101241.21	93046.6	98096.82	101796.1	95957.88	97346.93	107114.06	100861.27	109178.14	97188.67	81824.54999999999	87220.42	87755.66
RXN-10919	172.0	206.0	286.0	252.0	218.0	196.0	258.0	244.0	141.0	234.0	314.0	228.0	231.0	139.0	259.0	182.0	268.0	168.0
RXN-10949	56474.45	52517.34	61586.02	57683.7	66229.73999999999	65448.0	65121.43	64975.01	64422.850000000006	63552.07	67738.35	67465.56	65479.08	66144.14000000001	63900.8	58360.45	58210.19	53890.92999999999
